player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
Andrew McCutchen,457705,last_7,AAA,39.8,Gwinnett Stripers,Total,GWN,- - -,,,2,9,9,5,3,2,0,0,1,4,0,0,1,0,0,0,0,0,0,.556,0.0%,11.1%,.000,.556,.778,1.333,.222,,.625,,2.9,1.7,.591,252
Carlos Santana,467793,last_7,AAA,40.3,Gwinnett Stripers,Total,GWN,- - -,,,5,15,19,2,1,1,0,0,1,3,3,0,1,1,0,0,0,0,0,.133,15.8%,5.3%,3.000,.316,.200,.516,.067,,.143,,1.2,-1.2,.267,52
Tommy Pham,502054,last_7,AAA,38.4,Lehigh Valley IronPigs,Total,LHV,- - -,,,6,19,25,6,4,1,0,1,4,2,6,0,5,0,0,0,3,0,0,.316,24.0%,20.0%,1.200,.480,.526,1.006,.211,,.385,,5.2,2.1,.452,166
Sandy León,506702,last_7,AAA,37.4,Gwinnett Stripers,Total,GWN,- - -,,,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000,0.0%,100.0%,.000,.000,.000,.000,.000,,,,-0.4,-0.8,.000,-114
Travis d'Arnaud,518595,last_7,AAA,37.5,Salt Lake Bees,Total,SL,- - -,,,2,8,8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.125,0.0%,12.5%,.000,.125,.250,.375,.125,,.143,,0.0,-1.2,.162,1
Christian Bethancourt,542194,last_7,AAA,34.9,Scranton/Wilkes-Barre RailRiders,Total,SWB,- - -,,,1,4,5,3,1,0,0,2,3,4,1,0,0,0,0,0,0,0,0,.750,20.0%,0.0%,,.800,2.250,3.050,1.500,,.500,,3.8,3.2,1.168,610
Carlos Pérez,542208,last_7,AAA,35.8,Toledo Mud Hens,Total,TOL,- - -,,,3,10,11,6,3,0,0,3,4,3,1,0,1,0,0,0,0,0,0,.600,9.1%,9.1%,1.000,.636,1.500,2.136,.900,,.500,,6.1,4.7,.888,436
Yolmer Sánchez,570560,last_7,AAA,34.1,Salt Lake Bees,Total,SL,- - -,,,6,20,25,4,3,1,0,0,4,2,4,0,8,0,1,0,0,2,0,.200,16.0%,32.0%,.500,.320,.250,.570,.050,,.308,,2.1,-1.9,.275,53
Kyle Farmer,571657,last_7,AAA,36.0,Gwinnett Stripers,Total,GWN,- - -,,,3,13,13,5,5,0,0,0,1,2,0,0,3,0,0,0,1,0,0,.385,0.0%,23.1%,.000,.385,.385,.769,.000,,.500,,1.7,0.0,.350,103
Enrique Hernández,571771,last_7,AAA,34.9,Oklahoma City Comets,Total,OKC,- - -,,,2,6,7,2,2,0,0,0,0,2,0,0,2,0,1,0,0,0,0,.333,0.0%,28.6%,.000,.286,.333,.619,.000,,.400,,0.5,-0.6,.260,46
Brandon Drury,592273,last_7,AAA,33.9,Omaha Storm Chasers,Total,OMA,- - -,,,4,12,16,1,1,0,0,0,4,0,4,0,3,0,0,0,2,0,0,.083,25.0%,18.8%,1.333,.312,.083,.396,.000,,.111,,0.6,-1.4,.235,31
Chad Wallach,595453,last_7,AAA,34.7,Las Vegas Aviators,Total,LV,- - -,,,3,11,13,1,0,0,0,1,1,1,2,0,3,0,0,0,1,0,0,.091,15.4%,23.1%,.667,.231,.364,.594,.273,,.000,,1.1,-1.0,.272,51
Jorge Alfaro,595751,last_7,AA,33.1,Northwest Arkansas Naturals,Total,NWA,- - -,,,3,11,14,3,1,1,0,1,3,3,2,0,6,1,0,0,1,0,0,.273,14.3%,42.9%,.333,.429,.636,1.065,.364,,.500,,3.2,1.1,.463,153
Javier Báez,595879,last_7,AAA,33.6,Toledo Mud Hens,Total,TOL,- - -,,,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500,0.0%,25.0%,.000,.500,.500,1.000,.000,,.667,,0.8,0.3,.455,168
Jake Cave,595909,last_7,AAA,33.7,Durham Bulls,Total,DUR,- - -,,,5,18,18,4,2,1,0,1,2,4,0,0,7,0,0,0,1,0,0,.222,0.0%,38.9%,.000,.222,.444,.667,.222,,.300,,1.5,-0.8,.290,66
Austin Slater,596103,last_7,AAA,33.6,Durham Bulls,Total,DUR,- - -,,,5,18,21,6,6,0,0,0,2,2,3,0,6,0,0,0,0,0,0,.333,14.3%,28.6%,.500,.429,.333,.762,.000,,.500,,2.9,0.3,.362,110
