player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,GS,W,L,ERA,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP
Justin Verlander,434378,last_7,AAA,43.3,Toledo Mud Hens,Total,TOL,- - -,1,1,0,.00,0,0,0,5.0,19,4,0,0,0,0,0,0,0,0,3,5.40,.00,,.00,15.8%,0.0%,15.8%,.211,.80,,,2.11
Max Scherzer,453286,last_7,AAA,41.9,Buffalo Bisons,Total,BUF,- - -,2,0,1,4.05,0,0,0,6.2,27,5,3,3,1,3,0,0,0,0,9,12.15,4.05,3.00,1.35,33.3%,11.1%,22.2%,.208,1.20,,,3.91
Ryan Brasier,518489,last_7,AAA,38.8,Round Rock Express,Total,RR,- - -,1,0,1,27.00,0,0,0,1.0,7,1,3,3,1,3,0,0,0,0,0,.00,27.00,.00,9.00,0.0%,42.9%,-42.9%,.250,4.00,,,26.39
Alexander Cornielle,529017,last_7,A,24.8,Tampa Tarpons,Total,TAM,- - -,1,0,1,2.45,0,0,0,3.2,14,2,1,1,0,2,0,0,0,0,3,7.36,4.91,1.50,.00,21.4%,14.3%,7.1%,.167,1.09,,,3.49
Jesse Hahn,534910,last_7,AAA,36.8,Buffalo Bisons,Total,BUF,- - -,0,0,0,.00,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,.00,.00,,.00,0.0%,0.0%,0.0%,.333,1.00,,,3.31
Erasmo Ramírez,541640,last_7,AAA,36.1,Albuquerque Isotopes,Total,ABQ,- - -,1,0,1,36.00,0,0,0,2.0,15,8,8,8,1,2,0,0,0,0,2,9.00,9.00,1.00,4.50,13.3%,13.3%,0.0%,.615,5.00,,,11.89
Christian Bethancourt,542194,last_7,AAA,34.8,Iowa Cubs,Total,IOW,- - -,0,0,0,.00,0,0,0,0.2,4,0,0,0,0,2,0,0,0,0,0,.00,27.00,.00,.00,0.0%,50.0%,-50.0%,.000,3.00,,,12.31
Anthony Gose,543238,last_7,AAA,35.8,Omaha Storm Chasers,Total,OMA,- - -,0,0,0,6.75,0,0,0,1.1,7,2,1,1,0,1,0,0,0,0,1,6.75,6.75,1.00,.00,14.3%,14.3%,0.0%,.333,2.25,,,4.06
Michael Kelly,547184,last_7,AAA,33.7,Las Vegas Aviators,Total,LV,- - -,0,0,0,.00,0,0,1,1.2,5,0,0,0,0,1,0,0,1,0,2,1.80,5.40,2.00,.00,40.0%,20.0%,20.0%,.000,.60,,,3.79
Yimi García,554340,last_7,A,35.8,Dunedin Blue Jays,Total,DUN,- - -,0,0,0,.00,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,9.00,9.00,1.00,.00,25.0%,25.0%,0.0%,.000,1.00,,,4.49
Matthew Boyd,571510,last_7,AAA,35.3,Iowa Cubs,Total,IOW,- - -,2,1,1,7.00,0,0,0,9.0,39,11,8,7,3,2,0,0,0,0,7,7.00,2.00,3.50,3.00,17.9%,5.1%,12.8%,.297,1.44,,,6.75
