Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wBsR,GB%,LD%,FB%,IFFB%,HR/FB,GB/FB,Oppo%,Pull%,Cent%,Balls,Strikes,Pitches,SwStr%,Age,MaxAge,Season,PlayerName,TeamName,AffId,AffAbbName,aLevel,playerids,minormasterid
"<a href=""statss.aspx?playerid=10028&position=C"">Christian Bethancourt</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=5&players=0"">Blue Jays (AAA)</a>",28.0,94.0,106.0,13.0,7.0,2.0,0.0,4.0,7.0,14.0,7.0,0.0,26.0,1.0,2.0,2.0,6.0,2.0,0.0,0.138297872,0.066037735,0.245283018,0.269230769,0.201923076,0.287234042,0.489157118,0.14893617,3.8050900319369543,0.136363636,3.410484140149566,-10.525755460032013,0.2209202887920233,27.464273538032323,0.2791156955063343,0.405797101,0.188405797,0.405797101,0.285714285,0.142857142,1.0,0.30985915,0.46478873,0.22535211,125.0,267.0,392.0,0.20153061,33,33,2025,Christian Bethancourt,TOR (AAA),14.0,TOR,AAA,10028,sa503218
"<a href=""statss.aspx?playerid=10059&position=C"">Max Stassi</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=9&players=0"">Giants (AAA)</a>",20.0,68.0,84.0,18.0,12.0,5.0,0.0,1.0,8.0,18.0,13.0,0.0,18.0,3.0,0.0,0.0,3.0,1.0,0.0,0.264705882,0.154761904,0.214285714,0.722222222,0.404761904,0.382352941,0.787114845,0.117647059,3.1334776313943,0.346938775,13.331732231020002,1.2657997783413217,0.37376203423454646,121.32582842748108,0.014361301437020302,0.469387755,0.204081632,0.326530612,0.125,0.0625,1.4375,0.36,0.48,0.16,133.0,185.0,318.0,0.11320755,34,34,2025,Max Stassi,SFG (AAA),30.0,SFG,AAA,10059,sa501262
"<a href=""statss.aspx?playerid=10200&position=C"">Tucker Barnhart</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=13&players=0"">Rangers (AAA)</a>",28.0,94.0,116.0,22.0,14.0,6.0,0.0,2.0,15.0,13.0,17.0,0.0,20.0,3.0,1.0,1.0,2.0,0.0,1.0,0.234042553,0.146551724,0.172413793,0.85,0.365217391,0.361702127,0.726919518,0.127659574,2.2123934458569017,0.273972602,15.176980284447161,-1.485497864490065,0.3427868749784387,94.24493216024933,-0.7307264553382993,0.405405405,0.216216216,0.378378378,0.214285714,0.071428571,1.071428571,0.21052632,0.40789474,0.38157895,192.0,249.0,441.0,0.0952381,34,34,2025,Tucker Barnhart,TEX (AAA),13.0,TEX,AAA,10200,sa501601
"<a href=""statss.aspx?playerid=10323&position=OF"">Rafael Ortega</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=27&players=0"">Mets (AAA)</a>",7.0,22.0,22.0,6.0,3.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.272727272,0.0,0.181818181,0.0,0.272727272,0.59090909,0.863636362,0.318181818,5.415910877860033,0.25,3.3933743683912656,0.5009472815611269,0.3666030927137895,114.61702481504041,0.1758231408894062,0.333333333,0.222222222,0.444444444,0.5,0.25,0.75,0.16666667,0.66666667,0.16666667,21.0,53.0,74.0,0.10810811,34,34,2025,Rafael Ortega,NYM (AAA),25.0,NYM,AAA,10323,sa506292
"<a href=""statss.aspx?playerid=10441&position=1B"">Jon Singleton</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=27&players=0"">Mets (AAA)</a>",55.0,183.0,224.0,39.0,20.0,7.0,0.0,12.0,37.0,42.0,39.0,0.0,60.0,1.0,1.0,0.0,2.0,1.0,0.0,0.213114754,0.174107142,0.267857142,0.65,0.352678571,0.448087431,0.800766002,0.234972677,3.140963962724691,0.241071428,33.62373043973103,4.17356373746052,0.3616642308022295,111.46732064756984,-0.28353723883628845,0.31707317,0.243902439,0.43902439,0.296296296,0.222222222,0.722222222,0.19354839,0.51612903,0.29032258,401.0,528.0,929.0,0.10871905,33,33,2025,Jon Singleton,NYM (AAA),25.0,NYM,AAA,10441,sa501596
"<a href=""statss.aspx?playerid=10642&position=C"">Carlos Pérez</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=10&players=0"">Cubs (AAA)</a>",47.0,159.0,186.0,43.0,14.0,14.0,1.0,14.0,30.0,43.0,19.0,0.0,29.0,4.0,4.0,0.0,2.0,0.0,1.0,0.270440251,0.102150537,0.155913978,0.655172413,0.354838709,0.635220125,0.990058834,0.364779874,3.3300392422689624,0.241666666,36.59974187357242,12.145585594008518,0.41735821705992504,143.15356580468475,-0.7589522935450077,0.276119402,0.231343283,0.492537313,0.318181818,0.212121212,0.56060606,0.20149254,0.59701493,0.20149254,277.0,435.0,712.0,0.08988764,34,34,2025,Carlos Pérez,CHC (AAA),17.0,CHC,AAA,10642,sa503317
"<a href=""statss.aspx?playerid=10681&position=3B"">Gio Urshela</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=19&players=0"">Athletics (AAA)</a>",4.0,14.0,16.0,7.0,4.0,2.0,0.0,1.0,6.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.125,0.25,0.5,0.5625,0.857142857,1.419642857,0.357142857,2.64285714,0.666666666,5.820505067508497,3.522232219379225,0.6016392186284065,245.07841377439314,-0.0397797217592597,0.4,0.4,0.2,0.5,0.5,2.0,0.5,0.2,0.3,26.0,45.0,71.0,0.12676056,33,33,2025,Gio Urshela,OAK (AAA),10.0,OAK,AAA,10681,sa505997
"<a href=""statss.aspx?playerid=10815&position=SS"">Jurickson Profar</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=29&players=0"">Braves (AAA)</a>",5.0,21.0,25.0,9.0,6.0,1.0,0.0,2.0,2.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.428571428,0.12,0.04,3.0,0.48,0.761904761,1.241904761,0.333333333,0.14285714,0.368421052,7.1033455857653784,3.8164966234584012,0.521618127822876,219.19844391083205,-0.0725305862724781,0.3,0.3,0.4,0.0,0.25,0.75,0.28571429,0.47619048,0.23809524,32.0,52.0,84.0,0.04761905,32,32,2025,Jurickson Profar,ATL (AAA),16.0,ATL,AAA,10815,sa549315
"<a href=""statss.aspx?playerid=11339&position=OF"">Jake Marisnick</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=29&players=0"">Braves (AAA)</a>",12.0,41.0,45.0,4.0,2.0,1.0,0.0,1.0,5.0,1.0,3.0,0.0,13.0,1.0,0.0,0.0,2.0,1.0,0.0,0.097560975,0.066666666,0.288888888,0.23076923,0.177777777,0.195121951,0.372899728,0.097560976,6.1135848551228005,0.111111111,-0.08672347593867646,-6.0030516080912335,0.18022220134735106,1.4769947930535798,0.15164627879858017,0.518518518,0.185185185,0.296296296,0.375,0.125,1.75,0.31034483,0.44827586,0.24137931,57.0,103.0,160.0,0.16875,34,34,2025,Jake Marisnick,ATL (AAA),16.0,ATL,AAA,11339,sa501252
"<a href=""statss.aspx?playerid=11368&position=C"">Yasmani Grandal</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=28&players=0"">Red Sox (AAA)</a>",23.0,78.0,94.0,20.0,13.0,5.0,0.0,2.0,8.0,16.0,13.0,0.0,15.0,2.0,1.0,0.0,3.0,0.0,0.0,0.256410256,0.138297872,0.159574468,0.866666666,0.372340425,0.397435897,0.769776322,0.141025641,0.72753455875,0.29032258,13.703455381860673,1.3449032835864427,0.35650321143738767,110.53431503159426,-0.22565071284770966,0.412698412,0.206349206,0.38095238,0.25,0.083333333,1.083333333,0.125,0.59375,0.28125,158.0,225.0,383.0,0.05744125,36,36,2025,Yasmani Grandal,BOS (AAA),3.0,BOS,AAA,11368,sa392198
