player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
Tucker Barnhart,sa501601,last_30,AAA,34,TEX (AAA),Total,- - -,- - -,,,6,19,25,4,3,1,0,0,5,1,5,0,2,1,0,0,0,0,0,.211,20.0%,8.0%,2.50,.400,.263,.663,.053,2.6,.235,-0.1,3,-0.3,.342,94
Tucker Barnhart,sa501601,last_45,AAA,34,TEX (AAA),Total,- - -,- - -,,,6,19,25,4,3,1,0,0,5,1,5,0,2,1,0,0,0,0,0,.211,20.0%,8.0%,2.50,.400,.263,.663,.053,2.6,.235,-0.1,3,-0.3,.342,94
Christian Bethancourt,sa503218,last_30,AAA,33,TOR (AAA),Total,- - -,- - -,,,5,19,19,1,1,0,0,0,0,0,0,0,8,0,0,0,2,0,0,.053,0.0%,42.1%,0.00,.053,.053,.105,.000,0.1,.091,0.0,-2,-4.6,.049,-82
Max Stassi,sa501262,last_15,AAA,34,SFG (AAA),Total,- - -,- - -,,,1,2,4,2,1,1,0,0,0,3,1,0,0,1,0,0,0,0,0,1.000,25.0%,0.0%,1.00,1.000,1.500,2.500,.500,0.1,1.000,0.0,3,2.1,.927,469
Max Stassi,sa501262,last_30,AAA,34,SFG (AAA),Total,- - -,- - -,,,5,15,20,5,4,1,0,0,2,5,4,0,3,1,0,0,0,0,0,.333,20.0%,15.0%,1.33,.500,.400,.900,.067,0.9,.417,-0.1,4,1.4,.437,161
Christian Bethancourt,sa503218,last_7,AAA,33,TOR (AAA),Total,- - -,- - -,,,3,11,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,.000,0.0%,54.5%,0.00,.000,.000,.000,.000,0.1,.000,0.0,-2,-3.1,.000,-100
Christian Bethancourt,sa503218,last_15,AAA,33,TOR (AAA),Total,- - -,- - -,,,5,19,19,1,1,0,0,0,0,0,0,0,8,0,0,0,2,0,0,.053,0.0%,42.1%,0.00,.053,.053,.105,.000,0.1,.091,0.0,-2,-4.6,.049,-82
Tucker Barnhart,sa501601,last_7,AAA,34,TEX (AAA),Total,- - -,- - -,,,3,8,11,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,.000,18.2%,0.0%,2.00,.273,.000,.273,.000,2.6,.000,0.0,0,-1.5,.207,9
Tucker Barnhart,sa501601,last_15,AAA,34,TEX (AAA),Total,- - -,- - -,,,6,19,25,4,3,1,0,0,5,1,5,0,2,1,0,0,0,0,0,.211,20.0%,8.0%,2.50,.400,.263,.663,.053,2.6,.235,-0.1,3,-0.3,.342,94
Christian Bethancourt,sa503218,last_45,AAA,33,TOR (AAA),Total,- - -,- - -,,,11,41,44,5,5,0,0,0,1,2,3,0,13,0,0,0,5,2,0,.122,6.8%,29.5%,0.23,.182,.122,.304,.000,4.4,.179,0.3,-1,-6.8,.155,-14
Max Stassi,sa501262,last_45,AAA,34,SFG (AAA),Total,- - -,- - -,,,6,18,24,8,6,1,0,1,4,9,5,0,3,1,0,0,0,0,0,.444,20.8%,12.5%,1.67,.583,.667,1.250,.222,1.1,.500,-0.1,8,4.2,.552,233
Jon Singleton,sa501596,last_15,AAA,33,NYM (AAA),Total,- - -,- - -,,,8,28,34,4,2,0,0,2,6,6,6,0,9,0,0,0,0,0,0,.143,17.6%,26.5%,0.67,.294,.357,.651,.214,2.6,.118,-0.1,3,-1.0,.303,74
Carlos Pérez,sa503317,last_45,AAA,34,CHC (AAA),Total,- - -,- - -,,,32,108,127,31,9,11,1,10,21,28,15,0,20,1,3,0,1,0,1,.287,11.8%,15.7%,0.75,.370,.685,1.055,.398,3.5,.259,-0.7,27,10.8,.441,158
Jon Singleton,sa501596,last_7,AAA,33,NYM (AAA),Total,- - -,- - -,,,3,11,13,1,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,.091,15.4%,30.8%,0.50,.231,.091,.322,.000,0.1,.143,0.0,0,-1.7,.184,-1
Jon Singleton,sa501596,last_30,AAA,33,NYM (AAA),Total,- - -,- - -,,,19,59,74,12,5,3,0,4,14,15,15,0,16,0,0,0,1,0,0,.203,20.3%,21.6%,0.94,.365,.458,.822,.254,2.2,.205,-0.2,12,2.1,.372,119
Gio Urshela,sa505997,last_45,AAA,33,OAK (AAA),Total,- - -,- - -,,,4,14,16,7,4,2,0,1,6,5,2,0,4,0,0,0,1,0,0,.500,12.5%,25.0%,0.50,.563,.857,1.420,.357,2.6,.667,0.0,6,3.5,.601,245
Gio Urshela,sa505997,last_30,AAA,33,OAK (AAA),Total,- - -,- - -,,,4,14,16,7,4,2,0,1,6,5,2,0,4,0,0,0,1,0,0,.500,12.5%,25.0%,0.50,.563,.857,1.420,.357,2.6,.667,0.0,6,3.5,.601,245
Carlos Pérez,sa503317,last_15,AAA,34,CHC (AAA),Total,- - -,- - -,,,13,45,53,10,3,3,0,4,7,10,6,0,10,1,1,0,0,0,1,.222,11.3%,18.9%,0.60,.321,.556,.876,.333,2.1,.188,-0.5,9,1.6,.375,116
Jon Singleton,sa501596,last_45,AAA,33,NYM (AAA),Total,- - -,- - -,,,30,103,121,18,7,6,0,5,17,24,17,0,34,0,1,0,1,0,0,.175,14.0%,28.1%,0.50,.289,.379,.668,.204,2.0,.200,-0.2,12,-3.6,.304,75
Carlos Pérez,sa503317,last_7,AAA,34,CHC (AAA),Total,- - -,- - -,,,6,20,24,4,2,1,0,1,1,3,3,0,5,0,1,0,0,0,0,.200,12.5%,20.8%,0.60,.292,.400,.692,.200,0.1,.200,0.0,2,-0.7,.306,73
Gio Urshela,sa505997,last_7,AAA,33,OAK (AAA),Total,- - -,- - -,,,4,14,16,7,4,2,0,1,6,5,2,0,4,0,0,0,1,0,0,.500,12.5%,25.0%,0.50,.563,.857,1.420,.357,2.6,.667,0.0,6,3.5,.601,245
Gio Urshela,sa505997,last_15,AAA,33,OAK (AAA),Total,- - -,- - -,,,4,14,16,7,4,2,0,1,6,5,2,0,4,0,0,0,1,0,0,.500,12.5%,25.0%,0.50,.563,.857,1.420,.357,2.6,.667,0.0,6,3.5,.601,245
Carlos Pérez,sa503317,last_30,AAA,34,CHC (AAA),Total,- - -,- - -,,,23,82,93,19,7,5,0,7,12,19,7,0,18,1,3,0,1,0,1,.232,7.5%,19.4%,0.39,.290,.549,.839,.317,2.0,.200,-0.6,13,1.1,.354,103
Yasmani Grandal,sa392198,last_45,AAA,36,BOS (AAA),Total,- - -,- - -,,,15,50,61,13,10,2,0,1,4,11,8,0,10,2,1,0,1,0,0,.260,13.1%,16.4%,0.80,.377,.360,.737,.100,0.5,.300,-0.2,8,0.5,.348,105
Yasmani Grandal,sa392198,last_30,AAA,36,BOS (AAA),Total,- - -,- - -,,,8,26,30,8,7,1,0,0,1,5,4,0,4,0,0,0,1,0,0,.308,13.3%,13.3%,1.00,.400,.346,.746,.038,0.1,.364,-0.1,4,0.4,.356,111
Gary Sánchez,sa549555,last_30,AAA,32,BAL (AAA),Total,- - -,- - -,,,7,22,24,8,4,1,0,3,6,8,1,0,6,1,0,0,0,0,0,.364,4.2%,25.0%,0.17,.417,.818,1.235,.455,2.6,.385,0.0,7,3.7,.521,220
Gary Sánchez,sa549555,last_45,AAA,32,BAL (AAA),Total,- - -,- - -,,,7,22,24,8,4,1,0,3,6,8,1,0,6,1,0,0,0,0,0,.364,4.2%,25.0%,0.17,.417,.818,1.235,.455,2.6,.385,0.0,7,3.7,.521,220
Gary Sánchez,sa549555,last_15,AAA,32,BAL (AAA),Total,- - -,- - -,,,7,22,24,8,4,1,0,3,6,8,1,0,6,1,0,0,0,0,0,.364,4.2%,25.0%,0.17,.417,.818,1.235,.455,2.6,.385,0.0,7,3.7,.521,220
Gary Sánchez,sa549555,last_7,AAA,32,BAL (AAA),Total,- - -,- - -,,,2,5,6,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.200,16.7%,16.7%,1.00,.333,.200,.533,.000,2.6,.250,0.0,0,-0.3,.276,64
Dixon Machado,sa505035,last_45,AAA,33,CHC (AAA),Total,- - -,- - -,,,25,73,94,17,13,2,0,2,11,7,18,0,20,0,1,2,4,1,0,.233,19.1%,21.3%,0.90,.380,.342,.723,.110,3.2,.288,-0.1,13,0.6,.346,98
Dixon Machado,sa505035,last_30,AAA,33,CHC (AAA),Total,- - -,- - -,,,18,52,67,11,8,1,0,2,7,5,13,0,12,0,1,1,4,1,0,.212,19.4%,17.9%,1.08,.364,.346,.710,.135,3.3,.231,0.0,9,-0.1,.337,92
Dixon Machado,sa505035,last_7,AAA,33,CHC (AAA),Total,- - -,- - -,,,7,23,26,7,5,0,0,2,4,3,3,0,4,0,0,0,1,0,0,.304,11.5%,15.4%,0.75,.385,.565,.950,.261,1.1,.294,-0.1,5,1.7,.417,143
Dixon Machado,sa505035,last_15,AAA,33,CHC (AAA),Total,- - -,- - -,,,12,36,45,10,7,1,0,2,7,4,9,0,7,0,0,0,2,1,0,.278,20.0%,15.6%,1.29,.422,.472,.894,.194,4.1,.296,0.1,9,2.6,.409,138
Yolmer Sánchez,sa507106,last_15,AAA,33,LAA (AAA),Total,- - -,- - -,,,7,22,28,5,3,1,1,0,3,2,5,0,5,0,1,0,2,0,0,.227,17.9%,17.9%,1.00,.357,.364,.721,.136,3.9,.278,-0.1,3,-0.6,.333,84
Yolmer Sánchez,sa507106,last_30,AAA,33,LAA (AAA),Total,- - -,- - -,,,16,58,67,17,8,5,2,2,10,7,8,0,15,0,1,0,3,0,0,.293,11.9%,22.4%,0.53,.373,.552,.925,.259,4.2,.357,-0.1,12,2.4,.397,124
Yolmer Sánchez,sa507106,last_7,AAA,33,LAA (AAA),Total,- - -,- - -,,,3,10,11,3,2,1,0,0,0,1,1,0,5,0,0,0,0,0,0,.300,9.1%,45.5%,0.20,.364,.400,.764,.100,0.1,.600,0.0,2,-0.1,.350,95
Yolmer Sánchez,sa507106,last_45,AAA,33,LAA (AAA),Total,- - -,- - -,,,27,96,114,25,15,6,2,2,17,9,17,0,29,0,1,0,4,1,1,.260,14.9%,25.4%,0.59,.368,.427,.796,.167,5.5,.348,-0.5,17,0.4,.360,101
Nick Martini,sa578044,last_45,AAA,35,OAK (AAA),Total,- - -,- - -,,,10,39,52,13,8,1,1,3,14,12,7,0,9,4,2,0,0,0,0,.333,13.5%,17.3%,0.78,.462,.641,1.103,.308,5.1,.345,-0.1,13,5.2,.467,161
Nick Martini,sa578044,last_30,AAA,35,OAK (AAA),Total,- - -,- - -,,,10,39,52,13,8,1,1,3,14,12,7,0,9,4,2,0,0,0,0,.333,13.5%,17.3%,0.78,.462,.641,1.103,.308,5.1,.345,-0.1,13,5.2,.467,161
Nick Martini,sa578044,last_15,AAA,35,OAK (AAA),Total,- - -,- - -,,,10,39,52,13,8,1,1,3,14,12,7,0,9,4,2,0,0,0,0,.333,13.5%,17.3%,0.78,.462,.641,1.103,.308,5.1,.345,-0.1,13,5.2,.467,161
